,Incident Number w/year,Watch,Type of Incident,incident_type,Type  Location,Division,Council District,Year of Incident,Month1 of Occurence,Day1 of the Week,NIBRS Crime Category,severity,NIBRS Crime Against,Zip Code,x,y
0,058752-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),NORTH CENTRAL,13,2023,April,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75225,32.874667013,-96.77155203
1,072193-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,NORTHEAST,14,2023,April,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75206,32.86349,-96.76892
2,072048-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Shopping Mall,NORTHWEST,13,2023,April,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.908801014,-96.87064004
3,023685-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHEAST,13,2023,February,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75231,32.87356,-96.7666
4,012026-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),NORTH CENTRAL,11,2023,January,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75230,32.88072,-96.77295
5,054033-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Convenience Store,CENTRAL,14,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75206,32.81987,-96.78472
6,040982-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,CENTRAL,14,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75206,32.8197,-96.786271993
7,036464-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTH CENTRAL,11,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75243,32.93317,-96.75581
8,049959-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.85855,-96.86287
9,014611-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Commercial Property Occupied/Vacant,NORTHEAST,10,2023,January,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75243,32.90381,-96.70184
